,name,company,year,Price,kms_driven,fuel_type
424,Maruti Suzuki Vitara,Maruti,2017,725000,36000,Diesel
425,Hyundai Verna 1.6,Hyundai,2016,195000,56000,Diesel
426,Maruti Suzuki Swift,Maruti,2007,130000,62000,Petrol
427,Toyota Fortuner 3.0,Toyota,2015,1525000,120000,Diesel
428,Maruti Suzuki Omni,Maruti,2014,190000,6020,Petrol
429,Honda Amaze,Honda,2013,250000,55700,Diesel
430,Tata Indica,Tata,2005,80000,42000,Petrol
431,Hyundai Santro Xing,Hyundai,2003,120000,50000,Petrol
432,Maruti Suzuki Zen,Maruti,2010,149000,35000,Petrol
433,Maruti Suzuki Wagon,Maruti,2014,250000,18500,Petrol
434,Maruti Suzuki Wagon,Maruti,2007,120000,7000,Petrol
435,Honda Brio VX,Honda,2017,450000,11000,Petrol
436,Maruti Suzuki Zen,Maruti,2003,99999,53000,Petrol
437,Maruti Suzuki Zen,Maruti,2008,135000,23000,Petrol
438,Maruti Suzuki Wagon,Maruti,2016,225000,35500,Diesel
439,Maruti Suzuki Alto,Maruti,2010,99000,22134,Petrol
440,Renault Kwid RXT,Renault,2019,370000,1000,Petrol
441,Tata Nano Lx,Tata,2010,52000,9000,Petrol
442,Hyundai Eon Magna,Hyundai,2014,190000,35000,Petrol
443,Honda City 1.5,Honda,2014,499000,22000,Petrol
444,Maruti Suzuki Ritz,Maruti,2010,149000,40000,Petrol
445,Hyundai Grand i10,Hyundai,2017,400000,20000,Petrol
446,Hyundai Eon D,Hyundai,2016,120000,87000,Petrol
447,Maruti Suzuki Swift,Maruti,2015,250000,55000,Petrol
448,Maruti Suzuki Wagon,Maruti,2017,375000,23000,Petrol
449,Honda Amaze 1.2,Honda,2014,381000,6000,Petrol
450,Maruti Suzuki Estilo,Maruti,2013,180000,65000,Petrol
451,Maruti Suzuki Vitara,Maruti,2016,580000,25000,Diesel
452,Maruti Suzuki Eeco,Maruti,2015,278000,39000,Petrol
453,Hyundai Creta 1.6,Hyundai,2016,1000000,8000,Petrol
454,Mahindra Scorpio Vlx,Mahindra,2013,690000,75000,Diesel
455,Maruti Suzuki Ertiga,Maruti,2012,480000,51000,Diesel
456,Maruti Suzuki Alto,Maruti,2015,90000,55800,Petrol
457,Hyundai Grand i10,Hyundai,2015,340000,53000,Petrol
458,Hyundai Eon D,Hyundai,2018,260000,25000,Petrol
459,Ford Fiesta SXi,Ford,2009,250000,56400,Petrol
460,Maruti Suzuki Ritz,Maruti,2010,180000,72160,Diesel
461,Hyundai Verna Fluidic,Hyundai,2012,350000,10000,Diesel
462,Maruti Suzuki Wagon,Maruti,2006,90001,48000,Petrol
463,Maruti Suzuki Estilo,Maruti,2007,115000,36000,Petrol
464,Audi A6 2.0,Audi,2012,1599000,11500,Diesel
465,Maruti Suzuki Wagon,Maruti,2003,130000,133000,Petrol
466,Maruti Suzuki Wagon,Maruti,2009,159000,27000,Petrol
467,Maruti Suzuki Wagon,Maruti,2009,160000,35000,Petrol
468,Maruti Suzuki Alto,Maruti,2010,110000,55000,Petrol
469,Maruti Suzuki Baleno,Maruti,2016,425000,40000,Petrol
470,Hyundai Verna 1.6,Hyundai,2019,900000,2000,Petrol
471,Maruti Suzuki Swift,Maruti,2009,150000,45000,Petrol
472,Hyundai Getz Prime,Hyundai,2009,110000,20000,Petrol
473,Hyundai Getz Prime,Hyundai,2009,115000,20000,Petrol
474,Chevrolet Beat PS,Chevrolet,2012,215000,65422,Diesel
475,Ford EcoSport Trend,Ford,2017,580000,10000,Petrol
476,Maruti Suzuki Dzire,Maruti,2013,380000,35000,Petrol
477,Hyundai Fluidic Verna,Hyundai,2013,350000,117000,Diesel
478,Tata Indica V2,Tata,2005,35000,150000,Diesel
479,Hyundai i20 Asta,Hyundai,2010,300000,10750,Petrol
480,Honda City 1.5,Honda,2009,269000,55000,Petrol
481,Tata Nano,Tata,2013,60000,6800,Petrol
482,Chevrolet Cruze LTZ,Chevrolet,2014,400000,41000,Diesel
483,Hyundai Verna Fluidic,Hyundai,2015,430000,73000,Diesel
484,Maruti Suzuki Swift,Maruti,2011,140000,65000,Diesel
485,Mahindra XUV500 W10,Mahindra,2018,1299000,40000,Diesel
486,Maruti Suzuki Alto,Maruti,2014,199000,37000,Petrol
487,Hyundai Accent GLE,Hyundai,2006,90000,55000,Petrol
488,Maruti Suzuki Alto,Maruti,2019,265000,9800,Petrol
489,Chevrolet Spark 1.0,Chevrolet,2011,100000,27000,Petrol
490,Hyundai i10,Hyundai,2009,215000,27000,Petrol
491,Toyota Etios Liva,Toyota,2012,380000,20000,Diesel
492,Renault Duster 85PS,Renault,2013,401919,57923,Diesel
493,Chevrolet Enjoy,Chevrolet,2014,490000,30201,Diesel
494,Maruti Suzuki Alto,Maruti,2017,280000,6200,Petrol
495,Toyota Etios Liva,Toyota,2014,160000,24652,Petrol
496,Mahindra Jeep MM,Mahindra,2004,424000,383,Diesel
497,Chevrolet Beat LS,Chevrolet,2016,225000,95000,Diesel
498,Chevrolet Cruze LTZ,Chevrolet,2011,350000,35000,Diesel
499,Maruti Suzuki Ertiga,Maruti,2013,485000,52500,Diesel
500,Hyundai Verna VGT,Hyundai,2010,205000,47900,Diesel
501,Maruti Suzuki Omni,Maruti,2012,160000,14000,Petrol
502,Maruti Suzuki Celerio,Maruti,2018,310000,37000,Petrol
503,Tata Zest Quadrajet,Tata,2017,180000,90000,Diesel
504,Mahindra XUV500 W6,Mahindra,2013,549900,52800,Diesel
505,Tata Indigo CS,Tata,2016,150000,104000,Diesel
506,Hyundai i10 Era,Hyundai,2011,175000,30000,Petrol
507,Tata Indigo eCS,Tata,2014,95000,195000,Diesel
508,Tata Indigo LX,Tata,2016,230000,104000,Diesel
509,Tata Indigo eCS,Tata,2016,230000,104000,Diesel
510,Tata Indigo Marina,Tata,2004,180000,70000,Diesel
511,Hyundai Xcent SX,Hyundai,2015,400000,43000,Diesel
512,Hyundai Eon Magna,Hyundai,2013,185000,23000,Petrol
513,Renault Duster 85,Renault,2015,385000,51000,Diesel
514,Maruti Suzuki Alto,Maruti,2009,90000,62000,Petrol
515,Tata Nano LX,Tata,2010,32000,48008,Petrol
516,Renault Duster 110,Renault,2013,435000,39000,Diesel
517,Maruti Suzuki Wagon,Maruti,2010,225000,40000,Petrol
518,Maruti Suzuki Swift,Maruti,2006,189700,48247,Petrol
519,Maruti Suzuki Ertiga,Maruti,2012,389700,39000,Diesel
520,Maruti Suzuki Swift,Maruti,2014,365000,23000,Petrol
521,Maruti Suzuki Alto,Maruti,2017,360000,9400,Petrol
522,Hyundai i20 Magna,Hyundai,2010,210000,50000,Petrol
523,Hyundai i10 Magna,Hyundai,2009,170000,75000,Petrol
524,Tata Zest XE,Tata,2017,380000,70000,Diesel
525,Mahindra Xylo E8,Mahindra,2009,295000,64000,Diesel
526,Toyota Corolla Altis,Toyota,2010,185000,55000,Petrol
527,Tata Manza Aqua,Tata,2014,160000,200000,Diesel
528,Renault Kwid 1.0,Renault,2018,290000,2137,Petrol
529,Tata Venture EX,Tata,2013,100000,30000,Diesel
530,Maruti Suzuki Swift,Maruti,2014,315000,44000,Petrol
531,Skoda Octavia Classic,Skoda,2006,114990,65000,Diesel
532,Maruti Suzuki Omni,Maruti,2012,120000,160000,LPG
533,Chevrolet Beat Diesel,Chevrolet,2011,125000,56000,Diesel
534,Tata Sumo Gold,Tata,2012,210000,75000,Diesel
535,Hyundai Verna 1.6,Hyundai,2018,855000,42000,Diesel
536,Tata Sumo Gold,Tata,2012,210000,75000,Diesel
537,Mahindra Scorpio 2.6,Mahindra,2007,260000,56000,Diesel
538,Maruti Suzuki Swift,Maruti,2011,255000,64000,Petrol
539,Mahindra Scorpio SLX,Mahindra,2008,300000,70000,Diesel
540,Hyundai Grand i10,Hyundai,2014,340000,25000,Petrol
541,Hyundai Elite i20,Hyundai,2017,550000,15000,Petrol
542,Ford Ikon 1.6,Ford,2003,60000,50000,Petrol
543,Toyota Innova 2.5,Toyota,2011,750000,147000,Diesel
544,Chevrolet Beat LT,Chevrolet,2012,130000,90001,Diesel
545,Maruti Suzuki Alto,Maruti,2017,270000,21000,Petrol
546,Maruti Suzuki Swift,Maruti,2012,280000,48006,Diesel
547,Maruti Suzuki Swift,Maruti,2012,280000,48006,Diesel
548,Maruti Suzuki Swift,Maruti,2012,280000,48006,Diesel
549,Toyota Innova 2.0,Toyota,2012,600000,80000,Diesel
550,Maruti Suzuki Swift,Maruti,2010,190000,74000,Diesel
551,Hyundai Elite i20,Hyundai,2015,500000,22000,Petrol
552,Mahindra XUV500 W10,Mahindra,2016,1065000,41000,Diesel
553,Volkswagen Polo Trendline,Volkswagen,2015,350000,25000,Diesel
554,Toyota Etios Liva,Toyota,2012,350000,85000,Diesel
555,Mahindra TUV300 T4,Mahindra,2016,540000,29500,Diesel
556,Hyundai Elite i20,Hyundai,2015,470000,30000,Petrol
557,Hyundai Santro Xing,Hyundai,2014,179000,57000,Petrol
558,Maruti Suzuki Zen,Maruti,2003,48000,60000,Petrol
559,Maruti Suzuki Ciaz,Maruti,2016,650000,50000,Petrol
560,Hyundai Eon Era,Hyundai,2013,190000,39700,Petrol
561,Hyundai Elantra 1.8,Hyundai,2012,500000,65000,Petrol
562,Maruti Suzuki Swift,Maruti,2010,270000,67000,Diesel
563,Maruti Suzuki Zen,Maruti,2008,125000,46000,Petrol
564,Hyundai Eon Era,Hyundai,2012,188000,38000,Petrol
565,Hyundai Grand i10,Hyundai,2016,380000,27000,Petrol
566,Hyundai Verna Fluidic,Hyundai,2011,365000,43000,Diesel
567,Ford EcoSport Trend,Ford,2014,465000,47000,Petrol
568,Hyundai i20 Magna,Hyundai,2011,240000,42000,Petrol
569,Chevrolet Beat Diesel,Chevrolet,2016,179999,19336,Diesel
570,Tata Indica eV2,Tata,2015,140000,60105,Diesel
571,Maruti Suzuki Swift,Maruti,2015,475000,22000,Petrol
572,Maruti Suzuki S,Maruti,2016,615000,21000,Diesel
573,Maruti Suzuki Ertiga,Maruti,2013,475000,48000,Diesel
574,Maruti Suzuki Alto,Maruti,2016,270000,38000,Petrol
575,Honda City SV,Honda,2014,475000,34000,Diesel
576,Volkswagen Vento Comfortline,Volkswagen,2011,240000,45933,Petrol
577,Honda City 1.5,Honda,2005,120000,68000,Petrol
578,Audi A4 2.0,Audi,2016,1900000,44000,Diesel
579,Mahindra KUV100,Mahindra,2017,360000,35000,Diesel
580,Tata Zest XE,Tata,2018,450000,102563,Diesel
581,Mahindra XUV500 W8,Mahindra,2015,900000,28600,Diesel
582,Maruti Suzuki Swift,Maruti,2017,650000,41800,Diesel
583,Tata Sumo Gold,Tata,2014,275000,116000,Diesel
584,Maruti Suzuki Swift,Maruti,2009,210000,59000,Petrol
585,Mahindra Scorpio 2.6,Mahindra,2004,175000,58000,Diesel
586,Maruti Suzuki Omni,Maruti,2009,85000,45000,Petrol
587,Renault Duster,Renault,2014,800000,7400,Diesel
588,Volkswagen Jetta Comfortline,Volkswagen,2009,450000,54500,Diesel
589,Maruti Suzuki Ertiga,Maruti,2012,1000000,200000,Diesel
590,Audi A4 2.0,Audi,2013,1510000,27000,Diesel
591,Toyota Corolla Altis,Toyota,2014,790000,29000,Petrol
592,Chevrolet Beat LT,Chevrolet,2012,135000,36000,Petrol
593,Mahindra Scorpio SLX,Mahindra,2004,175000,60000,Diesel
594,Volkswagen Vento Comfortline,Volkswagen,2011,200000,95000,Diesel
595,Tata Indigo CS,Tata,2017,270000,50000,Diesel
596,Ford Figo Petrol,Ford,2019,525000,0,Petrol
597,Honda City ZX,Honda,2006,180000,50000,Petrol
598,Maruti Suzuki Wagon,Maruti,2008,140000,68000,Petrol
599,Ford EcoSport Trend,Ford,2014,400000,16000,Petrol
600,Maruti Suzuki Swift,Maruti,2016,499000,51000,Diesel
601,Maruti Suzuki Omni,Maruti,2009,85000,56000,Petrol
602,Maruti Suzuki Zen,Maruti,2004,70000,100000,Petrol
603,Renault Duster RxL,Renault,2015,550000,36000,Petrol
604,Maruti Suzuki Swift,Maruti,2014,370000,11523,Petrol
605,Maruti Suzuki Baleno,Maruti,2018,690000,1000,Petrol
606,Honda WR V,Honda,2009,250000,60000,Petrol
607,Tata Indigo CS,Tata,2016,110000,85000,Diesel
608,Renault Duster 110,Renault,2013,490000,38600,Diesel
609,Mahindra Scorpio LX,Mahindra,2009,320000,95500,Diesel
610,Maruti Suzuki Zen,Maruti,2004,68000,56000,Petrol
611,Maruti Suzuki Wagon,Maruti,2014,130000,37458,Petrol
612,Maruti Suzuki SX4,Maruti,2016,970000,85960,Diesel
613,Hyundai Eon D,Hyundai,2018,280000,35000,Petrol
614,Maruti Suzuki Zen,Maruti,2009,125000,0,Petrol
615,Mahindra Scorpio SLX,Mahindra,2008,285000,80000,Diesel
616,Hyundai Santro AE,Hyundai,2011,165000,45000,Petrol
617,Maruti Suzuki Swift,Maruti,2009,250000,51000,Diesel
618,Mahindra Scorpio S4,Mahindra,2015,865000,30000,Diesel
619,Mahindra Xylo D2,Mahindra,2011,390000,48000,Diesel
620,Hyundai Santro,Hyundai,2003,60000,51000,Petrol
621,Chevrolet Beat LT,Chevrolet,2015,215000,90000,Diesel
622,Maruti Suzuki Swift,Maruti,2015,475000,43000,Diesel
623,Mahindra XUV500 W8,Mahindra,2015,899000,53000,Diesel
624,Toyota Fortuner 3.0,Toyota,2013,1499000,97000,Diesel
625,Maruti Suzuki Alto,Maruti,2013,240000,20000,Petrol
626,Hyundai Getz GLE,Hyundai,2007,99000,55000,Petrol
627,Maruti Suzuki Swift,Maruti,2014,260000,120000,Diesel
628,Hyundai Creta 1.6,Hyundai,2019,1200000,0,Petrol
629,Hyundai Santro Xing,Hyundai,2007,115000,46000,Petrol
630,Hyundai Santro Xing,Hyundai,2009,88000,43200,Petrol
631,Mahindra Xylo D2,Mahindra,2011,390000,56000,Diesel
632,Hyundai Santro Xing,Hyundai,2007,135000,42000,Petrol
633,Tata Indica V2,Tata,2009,90000,30600,Diesel
634,Hyundai i10 Sportz,Hyundai,2011,220000,38000,Petrol
635,Hyundai Grand i10,Hyundai,2017,424999,2550,Petrol
636,Hyundai Santro Xing,Hyundai,2007,135000,47000,Petrol
637,Honda City 1.5,Honda,2005,95000,41000,Petrol
638,Honda City 1.5,Honda,2005,115000,68000,Petrol
639,Maruti Suzuki Alto,Maruti,2015,215000,50000,Petrol
640,Maruti Suzuki Wagon,Maruti,2004,53000,69000,Petrol
641,Maruti Suzuki Ertiga,Maruti,2012,500000,48000,Diesel
642,Tata Indica eV2,Tata,2012,85000,55000,Diesel
643,Maruti Suzuki Omni,Maruti,2013,165000,25000,Petrol
644,Hyundai Eon Era,Hyundai,2014,200000,28400,Petrol
645,Hyundai Eon,Hyundai,2014,200000,28000,Petrol
646,Maruti Suzuki Swift,Maruti,2015,425000,42000,Diesel
647,Hyundai Verna 1.6,Hyundai,2012,600000,29000,Diesel
648,Chevrolet Tavera LS,Chevrolet,2005,130000,68485,Diesel
649,Tata Tiago Revotron,Tata,2018,430000,3500,Petrol
650,Tata Tiago Revotorq,Tata,2019,568500,0,Petrol
651,Maruti Suzuki Zen,Maruti,2006,71000,32000,Petrol
652,Mahindra KUV100 K8,Mahindra,2018,560000,8000,Diesel
653,Ford EcoSport Titanium,Ford,2014,590000,34000,Diesel
654,Ford Fusion 1.4,Ford,2007,125000,85455,Diesel
655,Hyundai Santro Xing,Hyundai,2007,135000,46000,Petrol
656,Ford Ikon 1.3,Ford,2008,95000,46000,Petrol
657,Maruti Suzuki Omni,Maruti,2017,240000,8000,Petrol
658,Tata Indica V2,Tata,2012,115000,64000,Diesel
659,Mahindra Scorpio S4,Mahindra,2015,795000,63000,Diesel
660,Hyundai Santro Xing,Hyundai,2007,55000,65000,Petrol
661,Mahindra Xylo D2,Mahindra,2009,300000,62000,Diesel
662,Hyundai Grand i10,Hyundai,2014,320000,41000,Petrol
663,Maruti Suzuki Alto,Maruti,2015,265000,14000,Petrol
664,Toyota Corolla,Toyota,2006,160000,40000,Petrol
665,Hyundai Eon Magna,Hyundai,2017,300000,1600,Petrol
666,Tata Sumo Grande,Tata,2010,130000,90000,Diesel
667,Maruti Suzuki Swift,Maruti,2011,250000,58000,Diesel
668,Volkswagen Polo Highline1.2L,Volkswagen,2013,380000,27000,Petrol
669,Maruti Suzuki Alto,Maruti,2003,42000,60000,Petrol
670,Tata Tiago Revotron,Tata,2017,400000,31000,Petrol
671,Maruti Suzuki Swift,Maruti,2009,120000,90000,Diesel
672,Maruti Suzuki Swift,Maruti,2009,120000,90000,Diesel
673,Tata Indigo eCS,Tata,2016,130000,150000,Diesel
674,Chevrolet Beat LS,Chevrolet,2014,189000,31000,Diesel
675,Mahindra Xylo E8,Mahindra,2011,365000,43000,Diesel
676,Hyundai Eon D,Hyundai,2013,170000,20000,Petrol
677,Tata Sumo Gold,Tata,2013,215000,100000,Petrol
678,Tata Nano,Tata,2013,60000,7000,Petrol
679,Hyundai Elite i20,Hyundai,2017,599999,31000,Petrol
680,Hyundai i10 Magna,Hyundai,2009,400000,33000,Petrol
681,Hyundai Creta,Hyundai,2016,900000,60000,Diesel
682,Volkswagen Polo,Volkswagen,2013,299999,48000,Diesel
683,Maruti Suzuki Dzire,Maruti,2014,374999,33000,Petrol
684,Tata Bolt XM,Tata,2015,600000,15000,Petrol
685,Maruti Suzuki Alto,Maruti,2005,70000,47000,Petrol
686,Maruti Suzuki Alto,Maruti,2005,100000,40000,Petrol
687,Maruti Suzuki Ritz,Maruti,2010,150000,38000,Diesel
688,Maruti Suzuki Alto,Maruti,2017,225000,12500,Petrol
689,Maruti Suzuki Dzire,Maruti,2009,210000,42000,Petrol
690,Hyundai i20 Asta,Hyundai,2014,425000,31000,Petrol
691,Maruti Suzuki Swift,Maruti,2008,162000,60000,Diesel
692,Tata Indica V2,Tata,2005,60000,80000,Diesel
693,Mahindra Scorpio VLX,Mahindra,2014,650000,77000,Diesel
694,Toyota Innova 2.5,Toyota,2012,750000,75000,Diesel
695,Mahindra Xylo E8,Mahindra,2010,375000,40000,Diesel
696,Hyundai i20 Magna,Hyundai,2011,230000,47000,Petrol
697,Mahindra KUV100,Mahindra,2016,380000,26500,Petrol
698,Mahindra KUV100 K8,Mahindra,2019,560000,2875,Petrol
699,Tata Indica V2,Tata,2005,39999,80000,Diesel
700,Hyundai Santro Xing,Hyundai,2006,85000,60000,Petrol
701,Maruti Suzuki Wagon,Maruti,2016,395000,20000,Petrol
702,Maruti Suzuki Swift,Maruti,2008,175000,58000,Diesel
703,Maruti Suzuki Alto,Maruti,2019,400000,1500,Petrol
704,Toyota Innova 2.5,Toyota,2011,750000,75000,Diesel
705,Maruti Suzuki Alto,Maruti,2016,250000,2450,Petrol
706,Maruti Suzuki Alto,Maruti,2019,425000,1625,Petrol
707,Volkswagen Polo Highline1.2L,Volkswagen,2017,525000,45000,Petrol
708,Mahindra Logan,Mahindra,2009,130000,65000,Diesel
709,Mahindra Scorpio,Mahindra,2011,475000,60123,Diesel
710,Chevrolet Sail 1.2,Chevrolet,2013,300000,28000,Petrol
711,Hyundai Santro AE,Hyundai,2003,60000,70000,Petrol
712,Maruti Suzuki Wagon,Maruti,2006,100000,7000,Petrol
713,Hyundai Eon,Hyundai,2018,260000,25000,Petrol
714,Tata Manza,Tata,2015,100000,100000,Diesel
715,Toyota Etios G,Toyota,2013,265000,42000,Petrol
716,Hyundai Getz Prime,Hyundai,2009,115000,20000,Petrol
717,Toyota Qualis,Toyota,2003,180000,100000,Diesel
718,Hyundai Santro Xing,Hyundai,2004,45000,137495,Petrol
719,Tata Indica eV2,Tata,2016,50500,91200,Diesel
720,Honda City 1.5,Honda,2009,270000,55000,Petrol
721,Tata Zest XE,Tata,2017,290000,120000,Diesel
722,Mahindra Quanto C4,Mahindra,2013,325000,63000,Diesel
723,Tata Indigo eCS,Tata,2016,160000,104000,Diesel
724,Maruti Suzuki Swift,Maruti,2016,350000,146000,Diesel
725,Hyundai Elite i20,Hyundai,2011,290000,40000,Petrol
726,Hyundai i20 Select,Hyundai,2011,290000,40000,Petrol
727,Chevrolet Tavera Neo,Chevrolet,2007,465000,100800,Diesel
728,Maruti Suzuki Dzire,Maruti,2016,325000,150000,Diesel
729,Hyundai Elite i20,Hyundai,2018,510000,2100,Petrol
730,Honda City VX,Honda,2016,860000,95000,Petrol
731,Maruti Suzuki Dzire,Maruti,2016,450000,2500,Diesel
732,Hyundai Getz,Hyundai,2006,125000,80000,Petrol
733,Maruti Suzuki Alto,Maruti,2005,95000,65000,Petrol
734,Maruti Suzuki Swift,Maruti,2009,250000,51000,Diesel
735,Skoda Fabia,Skoda,2009,110000,45000,Petrol
736,Maruti Suzuki Ritz,Maruti,2011,270000,50000,Petrol
737,Tata Indica V2,Tata,2009,110000,30000,Diesel
738,Toyota Corolla Altis,Toyota,2009,300000,132000,Petrol
739,Tata Zest XM,Tata,2018,260000,27000,Diesel
740,Mahindra Quanto C8,Mahindra,2013,390000,40000,Diesel
