Ad ID,Advanced Demographics,AgeBracket,BillingAddress,Closed Date,No. of target critereas used,Number of Ads,Globe,% Impressions,Calculation1,Calculation2,Age,Interests ,Gender ,Language ,OS type ,Advanced demographics,Segments ,Location,Year of AD,Spend per Impression,Number of countries,Icon,Total impressions,CandidateBallotInformation,Country,Creative Properties,CreativeUrl,Electoral District,EndDate,Gender,Impressions,Interests,Language - Split 1,Language - Split 2,Language,Location Zip code,Location T,Location MA,Location ED,Location R,Location Type,Metro Area,Number of Records,OS Type,OrganizationName,PayingAdvertiserName,Region,Segments,Spend,StartDate,Targeting Geo - Postal Code
d903786b91ce98cc16ef1df7be8aeb8fb14a68ddf740130d31491b031f249d48,,18+,US,10/31/2018 3:05:03 PM,3,1,,0.010624041,,,1,0,0,0,0,0,1,1,1/1/2018,0.004084794,1,,183363,,United states,web_view_url:https://jesskingforcongress.com/vote-jess-king-on-nov-6th/,https://www.snap.com/political-ads/asset/87beeff334a9bc24ef51ea2f326e9ee17a001be908d0b2c4088630d1538cd325?mediaType=mp4,,10/31/2018 3:05:03 PM,,183363,,,,,1,0,0,0,0,,,1,,Friends of Jess King,Friends of Jess King,,Provided by Advertiser,749,10/26/2018 3:14:58 PM,"17408,17585,19501,17503,19540,19543,17501,17502,19551,17504,17505,17506,17507,17508,17509,17512,17516,17517,17518,17519,17520,17521,17522,17527,17528,17529,17019,17532,17533,17534,17535,17536,17537,17538,17540,17543,17545,17547,17549,17550,17551,17552,17554,17555,17557,17560,17562,17563,17564,17565,17566,17567,17568,17569,17570,17572,17575,17576,17578,17579,17580,17581,17582,17583,17584,17073,17601,17602,17603,17606,17022,17315,19310,19344,17301,17302,17309,17311,17312,17313,19362,19363,17316,17317,17321,17322,17327,17329,17331,17342,17347,17349,17352,17354,17355,17356,17314,17360,17361,17362,17363,17364,17366,17368,17371,17402,17403,17404,17406,17407"
91b86382723c056658947b008285b1f63acf842d05b2bf5b89ef2ee7ff147998,,25+,"17-25 New Inn Yard,London,EC2A 3EA,GB",1/13/2019 9:43:53 PM,2,1,,0.000946912,,,1,0,0,0,0,0,1,0,1/1/2018,0.001896837,1,,16343,,United kingdom,web_view_url:https://www.amnesty.org.uk/write-for-rights/action/northern-ireland-abortion?utm_source=Snapchat&utm_medium=Digital&utm_campaign=WFR&utm_content=NI-abortion-V14,https://www.snap.com/political-ads/asset/33b4f152e43884354fffb0585a988553c7ebd4021e73991a1dab61e01fb04912?mediaType=mp4,,1/13/2019 9:43:53 PM,,16343,,,,,0,0,0,0,0,,,1,,Amnesty International UK,Amnesty International UK,,Provided by Advertiser,31,11/27/2018 9:44:19 PM,
773e1253277e2b3653bb06c1beeac1d239d1005f421dde56d9f6d50b84a098b2,,,US,11/6/2018 4:59:59 AM,3,1,,0.000179266,,,0,0,0,0,0,0,1,2,1/1/2018,0.002262443,1,,3094,,United states,,https://www.snap.com/political-ads/asset/97aa87f3629e506b7469ce44119a101f5ad8f505aed4a8c993bb598e0173ab65?mediaType=mp4,,11/6/2018 4:59:59 AM,,3094,,,,,1,1,0,0,0,Colleges & Universities,,1,,Friends of Jenn Alford-Teaster,Friends of Jenn Alford-Teaster,,Provided by Advertiser,7,11/1/2018 5:29:10 PM,03257
b2f57e979ec96f3e60dfd300e8df764fe99b9d81fe57de5b37bb44145b8e2bc0,,18-34,US,11/6/2018 10:00:00 PM,4,1,,0.118874558,,,1,1,0,0,0,0,1,1,1/1/2018,0.004521647,1,,2051686,,United states,web_view_url:https://commit.knockthe.vote/?source=snap&tracking=scare,https://www.snap.com/political-ads/asset/8bae97ee9139db22bfcfdb6f7d46af92e65e1cbd5dd5d17d4723fba37c3b46b9?mediaType=mp4,,11/6/2018 10:00:00 PM,,2051686,"Basketball Fans,Green Living Enthusiasts,Indie & Alternative Music Fans,Indie & Foreign Film Fans,Latin Music Fans,Philanthropists,Sneakerheads,Soul & R&B Fans,Urban & Hip-Hop Music Fans,Vegans & Organic Foodies,TV Network Viewers (MSNBC)",,,,0,0,0,0,1,,,1,,ACRONYM,Knock The Vote,Arizona,Provided by Advertiser,9277,10/26/2018 6:05:50 PM,
b73cfdd850bb743230a0de45698790d335fbf5f1cd9add55ef8c136c3efee98e,,18+,"1 MONCKTON BLVD,Columbia,29206,US",1/1/2999 12:00:00 AM,3,1,,0.087241206,,,1,0,0,0,0,0,1,1,1/1/2018,0.002139843,1,,1505718,,United states,,https://www.snap.com/political-ads/asset/09ec738d8f14b605ac4d9b71e1b591e3c93c9ebd9658b3358b1470d35611823a?mediaType=mp4,,,,1505718,,,,,0,0,0,0,1,,,1,,"LoudDoor, LLC",Paid For by Trooien For USSenate,Minnesota,Provided by Advertiser,3222,8/21/2018 6:53:11 PM,
f5531e8f40c8a90c0c5ba6c231b6b5d7b6a8028fd017c36c2d4b72a842036613,,18+,US,11/7/2018 1:00:00 AM,3,1,,0.011354432,,,1,0,0,0,0,0,1,1,1/1/2018,0.004424169,1,,195969,,United states,web_view_url:https://medium.com/@ChrisMurphyCT/murphy-delivers-for-connecticut-providing-mental-health-care-for-veterans-4ff569d26af0,https://www.snap.com/political-ads/asset/c88671b4ccd159709cbbea0dc5868fbd67bfe77e337b425bb3faa0a0b431adf1?mediaType=mp4,,11/7/2018 1:00:00 AM,,195969,,,,,0,0,0,0,1,,,1,,"Aisle 518 Strategies, LLC",Friends of Chris Murphy,Connecticut,Provided by Advertiser,867,10/29/2018 12:34:10 AM,
c9ad285b260a87f56530e7228b257f175336bac51a5e6cacc3f7d40a4da8e7a1,,18-34,"1706 s major street,salt lake city,84115,US",11/7/2018 3:00:00 AM,3,1,,0.006201138,,,1,0,0,0,0,0,1,1,1/1/2018,0.002335859,1,,107027,,United states,,https://www.snap.com/political-ads/asset/1a31490a1ca38c845444696f48e38687cfe63155c11b92daae1c5523868394c7?mediaType=mp4,,11/7/2018 3:00:00 AM,,107027,,,,,0,0,0,0,1,,,1,,Penna Powers,Lieutenant Governor's Office,Utah,Provided by Advertiser,250,10/9/2018 3:51:44 PM,
1136caa80e38faf9c6cad855be7f27ea3065d3cf69c8cf4497e5aae275626539,,18+,"919 Central Ave,Auburn,68305,US",11/7/2018 2:00:00 AM,3,1,,0.001371380,,,1,0,0,0,0,0,1,1,1/1/2018,0.004351684,1,,23669,,United states,web_view_url:https://therealbenhansen.com/,https://www.snap.com/political-ads/asset/8bbccf9fdccfe0bc553fdbdca3e6f71320551b0352206d5c491f5255610b4fea?mediaType=png,,11/7/2018 2:00:00 AM,,23669,,,,,1,0,0,0,0,,,1,,BCom Solutions,Citizens for a Better Tomorrow,,Provided by Advertiser,103,11/2/2018 10:38:51 PM,"51557,68002,68004,68716,68007,68008,68019,68020,68633,68023,68029,68031,68641,68034,68038,68044,68045,68142,68152,68112,68122,68047,68061,68064,68068,68788,68791"
c7b770ff287211e3261ca7b0a47416a7b2938cc219276e52906db490dd5e7b1b,,18-34,"1140 Connecticut Ave NW, Suite 800,Washington,20036,US",10/17/2018 6:30:00 AM,2,1,,0.005562002,,,1,0,0,0,0,0,0,1,1/1/2018,0.003843910,1,,95996,,United states,web_view_url:https://nextgenamerica.org/voter-guide/?utm_campaign=MV_AZ_Motivation-Act1&utm_source=snapchat&utm_medium=cpc&utm_content=Voter_Guide,https://www.snap.com/political-ads/asset/b84158caf07ec79c77bfd61636b45f9a9096064bb919538a85722aecddbc14d5?mediaType=mp4,,10/17/2018 6:30:00 AM,,95996,,,,,1,0,0,0,0,,,1,,Bully Pulpit Interactive,NextGen America,,,369,9/5/2018 7:00:56 PM,"86011,85349,85530,85626,85281,85542,85550,86547,86538,85350,85911,86507,85941,85035,86503,85004,86434,86540,85719,86545,86510,86515,86535,85353,85034,85031,86045,86512,86508,86033,85043,86504,86001,86506,85033,85006,86020,85008,85009,86044,85040,85017,85041,86520,86054,86034,86505,85256,86511,85701,85147,86514,85037,85706,86043,85323,85607,85634,85019,85339,85714,85003,85648,85007,86035,85042,85015,86031,86039,85301,85282,85757,86544,85303,85746,85264,85716"
9a76cf1ee54740e63c30878bfdfcbcb4e5ea8ca578a98c04e433b52fde37357b,,18+,"1328 Florida Avenue NW, Building C, Washington, DC,Washington,20009,US",11/6/2018 10:59:59 PM,1,1,,0.003723510,,,1,0,0,0,0,0,0,0,1/1/2018,0.006130864,1,,64265,,United states,web_view_url:http://www.votingmatters.org,https://www.snap.com/political-ads/asset/2e4d67a25dabf148acbf7b443b26ab9de7eb19253043feab22291f40e22570e8?mediaType=mp4,,11/6/2018 10:59:59 PM,,64265,,,,,0,0,0,0,0,,,1,,Mothership Strategies,Progressive Turnout Project,,,394,10/26/2018 8:47:44 PM,
38a13c9d710f46502efd506bdbe7e77dc761c2a9e3754cff5e0cc0e799ffc492,,18+,US,11/7/2018 3:00:39 AM,3,1,,0.000815273,,,1,0,0,0,0,0,1,1,1/1/2018,0.003979817,1,,14071,,United states,web_view_url:https://zauggformontana.com/2018/11/03/where-do-i-vote/,https://www.snap.com/political-ads/asset/332f8cb687c1223ed176b3a9e832a66f7b24ea0026052f73ee631be6ffe178f8?mediaType=mp4,,11/7/2018 3:00:39 AM,,14071,,,,,1,0,0,0,0,,,1,,Colton Zaugg for State Legislature,Colton Zaugg for Legislature,,Provided by Advertiser,56,11/4/2018 4:00:05 AM,"59101,59102"
0b6796cb357ae98c6f022d607346697333f7bd658bd085e141ec87aa3806e239,,18+,"Krom boomssloot 22-1,Amsterdam,1011GW,NL",12/18/2018 10:59:59 PM,1,1,,0.008723379,,,1,0,0,0,0,0,0,0,1/1/2018,0.001095916,1,,150559,,Netherlands,web_view_url:https://secure.amnesty.nl/write-for-rights/Nonhle_Mbuthuma?utm_source=Jalt&utm_medium=snapchat&utm_campaign=writeforrights2018-act,https://www.snap.com/political-ads/asset/623887f895ef6641d0b7b54c168fbb7d4de55df9f62aab52b3eebbd46969071d?mediaType=mp4,,12/18/2018 10:59:59 PM,,150559,,,,,0,0,0,0,0,,,1,,Jalt,Amnesty International NL,,,165,12/12/2018 9:25:31 AM,
c0ef4d6b0365032c8f0a32271e32da959f71c99f40018ed237a1dd9fe4470efe,,16-25,"12420 - 104 Avenue,Edmonton,T5N 3Z9,CA",12/17/2018 7:15:32 AM,4,1,,0.082562846,,,1,0,0,1,0,0,1,1,1/1/2018,0.001795122,1,,1424973,,Canada,web_view_url:https://www.albertahealthservices.ca/info/Page16023.aspx?WT.mc_id=drugsafe-cannabis&WT.trsc=snapchat,https://www.snap.com/political-ads/asset/b41619ede2aea8b692d7d1d7dde58beffd8f3b8ec40ba5ffcd8a97e03d347573?mediaType=jpg,,12/17/2018 7:15:32 AM,,1424973,,en,,en,0,0,0,0,1,,,1,,Kick Media Inc.,Alberta Health Services,Alberta,Provided by Advertiser,2558,10/2/2018 6:30:58 PM,
c2461fd7ce7962570c261e37a33bf0b1205e609354c21ff9180e0c03d6e50df9,,18+,"501 East Pine St #201,Seattle,98122,US",11/3/2018 6:59:59 AM,3,1,,0.001813926,,,1,0,0,0,0,0,1,1,1/1/2018,0.001597087,1,,31307,,United states,,https://www.snap.com/political-ads/asset/4e111c9c1f45d39a436c0917015af3733dc830f0b299e0017c7ae746f8054afa?mediaType=mp4;https://www.snap.com/political-ads/asset/accf2510541c75802417096ebdacd0775a63f2f7753ce46873e47c6053db8ab1?mediaType=mp4;https://www.snap.com/political-ads/asset/23b0797f9318e980ca75225b40c044426540932648f80455f5aa4d1d8290c022?mediaType=mp4,,11/3/2018 6:59:59 AM,,31307,,,,,1,0,0,0,0,,,1,,Mammoth,King County Elections,,Provided by Advertiser,50,10/31/2018 7:00:01 AM,"98001,98002,98003,98004,98005,98006,98007,98008,98009,98010,98011,98013,98014,98015,98019,98022,98023,98024,98025,98027,98028,98029,98030,98031,98032,98033,98034,98035,98038,98039,98040,98041,98042,98045,98047,98050,98051,98052,98053,98055,98056,98057,98058,98059,98062,98063,98064,98065,98068,98070,98071,98072,98073,98074,98075,98083,98092,98093,98101,98102,98103,98104,98105,98106,98107,98108,98109,98111,98112,98114,98115,98116,98117,98118,98119,98121,98122,98124,98125,98126,98131,98133,98134,98136,98138,98144,98145,98146,98148,98154,98155,98158,98160,98161,98164,98166,98168,98174,98177,98178,98188,98198,98199,98224,98288"
36c3bdfa1918bf492f41a59cc647f0c6034ae822622098e8977d37d9bd512a03,,29+,GB,1/10/2019 10:51:08 PM,3,1,,0.000222605,,,1,0,0,0,0,0,1,1,1/1/2018,0.002602811,1,,3842,,Nigeria,web_view_url:http://jidesanwoolu.ng,https://www.snap.com/political-ads/asset/b71274097fa9e6f38fbb960b3a6b892c30d5c9af2b25c0d8222d2fa5a9d7b32e?mediaType=jpg,,1/10/2019 10:51:08 PM,,3842,,,,,0,0,0,0,1,,,1,,LPM,sdm.ng,Lagos,Provided by Advertiser,10,12/1/2018 5:37:07 PM,
af4fd03826414533f0d957ce233f72ad794aec3b30ed3de30473dd72597da944,,18+,"6030 Clear Springs rd,Virginia Beach,23464,US",10/29/2018 2:31:41 PM,4,1,,0.001435288,,,1,0,0,0,0,0,1,2,1/1/2018,0.002623930,1,,24772,,United states,,https://www.snap.com/political-ads/asset/c8feedd37098ccaf7aa5b9f5a4cf12a31304fc49c36b0197437ed32a8ab487db?mediaType=png,,10/29/2018 2:31:41 PM,,24772,,,,,1,1,0,0,0,Airports,,1,,Friends For Sydney Batch,Friends for Sydney Batch,,Provided by Advertiser,65,10/22/2018 2:31:41 PM,"27540,27539,27526"
6f8f53d0d63b609bd30c37feda23de17d6dc7c2401eaf852f43e43934c2fc724,,18+,"333 Fremont Street ,San Francisco,94105,US",12/5/2018 7:16:01 AM,3,1,,0.000365717,,,1,0,0,0,0,0,1,1,1/1/2018,0.001425856,1,,6312,,Nigeria,,https://www.snap.com/political-ads/asset/caae4fb522b6edc4da8c740afa3d217546da70f528e8f6ea6205f676e2b330f9?mediaType=jpg,,12/5/2018 7:16:01 AM,,6312,,,,,0,0,0,0,1,,,1,,Sponge Limited,Watchtower Lagos,Lagos,Provided by Advertiser,9,12/1/2018 4:21:39 PM,
96f52907bb6a25084b4a0e1c0c51e7356160428ec96c462e41357ed1383d5389,,18+,"501 East Pine St #201,Seattle,98122,US",11/6/2018 7:59:59 AM,3,1,,0.005097672,,,1,0,0,0,0,0,1,1,1/1/2018,0.002682367,1,,87982,,United states,web_view_url:https://kingcounty.gov/depts/elections.aspx,https://www.snap.com/political-ads/asset/8b7203998de96b433bbce93b968898a823018dbd91f0e3900b3282c8f78e5934?mediaType=mp4,,11/6/2018 7:59:59 AM,,87982,,,,,1,0,0,0,0,,,1,,Mammoth,King County Elections,,Provided by Advertiser,236,11/3/2018 7:00:01 AM,"98001,98002,98003,98004,98005,98006,98007,98008,98009,98010,98011,98013,98014,98015,98019,98022,98023,98024,98025,98027,98028,98029,98030,98031,98032,98033,98034,98035,98038,98039,98040,98041,98042,98045,98047,98050,98051,98052,98053,98055,98056,98057,98058,98059,98062,98063,98064,98065,98068,98070,98071,98072,98073,98074,98075,98083,98092,98093,98101,98102,98103,98104,98105,98106,98107,98108,98109,98111,98112,98114,98115,98116,98117,98118,98119,98121,98122,98124,98125,98126,98131,98133,98134,98136,98138,98144,98145,98146,98148,98154,98155,98158,98160,98161,98164,98166,98168,98174,98177,98178,98188,98198,98199,98224,98288"
26ef4030245a69b481ea7d2da48a1ca84cb4c1953d0898dd6b0cffc377a14137,College Graduates,18+,US,10/17/2018 11:35:16 PM,5,1,,0.000340977,,,1,0,0,1,0,1,1,1,1/1/2018,0.003568394,1,,5885,,United states,,https://www.snap.com/political-ads/asset/230fe107f836b4addc366099f2c78258d9c41abf4df09bf765e1d41683495b7c?mediaType=mp4,,10/17/2018 11:35:16 PM,,5885,,en,,en,0,0,0,0,1,,,1,,Wyoming Democratic Party,Wyoming Democratic Party,Wyoming,Provided by Advertiser,21,10/11/2018 11:57:21 PM,
b84a27e39524a3aa9396de2a683fec50d36ebfd4fefcd11b35eb550d818815e9,,18+,"430 S Capitol St SE,Washington,20003,US",11/7/2018 4:00:00 AM,1,1,,0.010434867,,,1,0,0,0,0,0,0,0,1/1/2018,0.003986718,1,,180098,,United states,web_view_url:https://mypollingplace.org/,https://www.snap.com/political-ads/asset/78383855d3e98d76fc8867d0d948fa0e69e3103a3e830e9c1aa2903d699a3078?mediaType=mp4,,11/7/2018 4:00:00 AM,,180098,,,,,0,0,0,0,0,,,1,,Democratic Congressional Campaign Committee,DCCC,,,718,10/17/2018 3:00:00 PM,
c89d697a5371e554bded56dcd805c1133c3f5564808097c807d565ae6126d19e,,18+,"1730 Rhode Island Ave NW Suite 1014,Washington,20036,US",11/6/2018 11:00:00 PM,2,1,,0.017208741,,,1,0,0,0,0,0,0,1,1/1/2018,0.006430760,1,,297010,,United states,,https://www.snap.com/political-ads/asset/834016bae9a111b3b9c0563e9a848dd2cfe2862a80cc150b01045845073cca66?mediaType=jpg,,11/6/2018 11:00:00 PM,,297010,,,,,0,0,0,0,1,,,1,,Blueprint Interactive,AFSCME Nevada,Nevada,,1910,9/28/2018 9:54:57 PM,
afebfaacfb404e50ecc861079b94961e6aa487f809f3880913b43aa7e48dfcd6,,18-24,"10 Triton Street,London,NW1 3BF,GB",10/31/2018 10:12:05 PM,2,1,,0.016140039,,,1,0,0,0,0,0,1,0,1/1/2018,0.001321056,1,,278565,,United kingdom,web_view_url:https://www.truthproject.org.uk/i-will-be-heard,https://www.snap.com/political-ads/asset/b8cda98fb3967e185ab0e51c26531f7586d9e4240c94cbc84cf009f79ec2f130?mediaType=mp4,,10/31/2018 10:12:05 PM,,278565,,,,,0,0,0,0,0,,,1,,Dentsu Aegis Network,Home Office,,Provided by Advertiser,368,10/1/2018 10:14:13 PM,
a8e694224c28f21a12902f5ca5e444f85747fe087da4b5f16499df85a6eba0fb,,20-29,"Skt. Petri Passage 52 ,København K,1165,DK",11/30/2018 7:48:35 AM,2,1,,0.029576947,,,1,0,0,0,0,0,1,0,1/1/2018,0.001721922,1,,510476,,Denmark,,https://www.snap.com/political-ads/asset/0aaea87ed4dfde63529bed05717795b9106ed9380791594de500eca432ecd52d?mediaType=mp4,,11/30/2018 7:48:35 AM,,510476,,,,,0,0,0,0,0,,,1,,Reprise Media,Mejeriforeningen,,Provided by Advertiser,879,8/20/2018 6:56:43 AM,
a07e1106676613d6cbf2e0e008f031abea5116bcdfb162e920000856efe019a1,,18+,US,11/7/2018 3:13:19 AM,3,1,,0.000998537,,,1,0,0,0,0,0,1,1,1/1/2018,0.004235813,1,,17234,,United states,,https://www.snap.com/political-ads/asset/2c21caaf7d23306c2061ec754c4db9a50febf75bb90bccc0b130e30f11f2c1d1?mediaType=png,,11/7/2018 3:13:19 AM,,17234,,,,,1,0,0,0,0,,,1,,Friends of James Skoufis,Friends of James Skoufis,,Provided by Advertiser,73,11/6/2018 9:00:11 AM,"10980,10986,10927,10993,10984,10923,10970,10926,10950,10918,10992,10914,12518,12520,10996,12553,12577,12543,12549,12586,12550,12589,12542,12547,12548"
